tdl,xpos,ypos,displacement,totaldisplacement
0.0,0.0,62.0,0.0,0.0
0.00850850850850851,0.09878202771445192,61.999904403850174,0.09878207397095187,0.09878207397095187
0.01701701701701702,0.19756365650537236,61.99961761583393,0.09878204509906374,0.19756411907001561
0.025525525525525526,0.2963444874511598,61.99913963725103,0.09878198735531672,0.2963461064253323
0.03403403403403404,0.395124121634073,61.998470470267684,0.09878190073976988,0.3951280071651022
0.04254254254254255,0.4939021601421606,61.99761011791661,0.09878178525251118,0.4939097924176134
0.05105105105105105,0.5926782040711912,61.99655858409698,0.09878164089365798,0.5926914333112714
0.05955955955955956,0.6914518545265838,61.9953158735744,0.09878146766335781,0.6914729009746292
0.06806806806806807,0.7902227126253367,61.993881991980906,0.09878126556178632,0.7902541665364156
0.07657657657657659,0.8889903794979584,61.99225694581491,0.09878103458914977,0.8890352011255653
0.0850850850850851,0.9877544562903966,61.99044074244119,0.09878077474568285,0.9878159758712481
0.09359359359359361,1.086514544165968,61.98843339009083,0.09878048603165032,1.0865964619028985
0.1021021021021021,1.1852702443072884,61.98623489786122,0.09878016844734597,1.1853766303502444
0.11061061061061062,1.2840211579182015,61.983845275715964,0.09877982199309292,1.2841564523433373
0.11911911911911913,1.382766886225709,61.981264534484836,0.09877944666924457,1.382935899012582
0.12762762762762764,1.4815070304818985,61.978492685863756,0.09877904247618162,1.4817149414887636
0.13613613613613615,1.5802411919658743,61.97552974241471,0.09877860941431642,1.58049355090308
0.14464464464464466,1.678968971985686,61.97237571756567,0.09877814748409018,1.67927169838717
0.15315315315315317,1.7776899718802555,61.969030625610586,0.09877765668597101,1.778049355073141
0.16166166166166168,1.876403793021309,61.96549448170922,0.0987771370204618,1.8768264920936029
0.1701701701701702,1.9751100368153027,61.96176730188716,0.09877658848808916,1.975603080581692
0.1786786786786787,2.0738083047053513,61.957849103035684,0.09877601108941113,2.074379091671103
0.18718718718718722,2.1724981981731584,61.95373990291171,0.0987754048250171,2.17315449649612
0.19569569569569573,2.271179318740942,61.949439720137654,0.09877476969552365,2.2719292661916435
0.2042042042042042,2.369851267973363,61.94494857420141,0.09877410570157599,2.3707033718932196
0.21271271271271272,2.468513647479454,61.9402664854562,0.09877341284385131,2.4694767847370707
0.22122122122122123,2.5671660589145437,61.93539347512046,0.09877269112305515,2.5682494758601258
0.22972972972972974,2.6658081039821875,61.93032956527777,0.09877194053992232,2.667021416400048
0.23823823823823825,2.7644393844360904,61.92507477887676,0.0987711610952139,2.7657925774952616
0.24674674674674676,2.863059502082037,61.919629139730915,0.0987703527897271,2.864562930284989
0.2552552552552553,2.961668058779817,61.91399267251853,0.09876951562428332,2.963332445909272
0.2637637637637638,3.060264656445148,61.90816540278255,0.09876864959973414,3.062101095509006
0.2722722722722723,3.1588488970516044,61.90214735693045,0.09876775471696048,3.1608688502259668
0.2807807807807808,3.2574203826325427,61.89593856223409,0.09876683097687516,3.259635681202842
0.2892892892892893,3.355978715283027,61.88953904682961,0.0987658783804189,3.358401559583261
0.2977977977977978,3.454523497161749,61.882948839717265,0.09876489692855729,3.457166456511818
0.30630630630630634,3.5530543304929605,61.87616797076126,0.09876388662229474,3.5559303431341127
0.3148148148148148,3.6515708175683885,61.86919647068962,0.09876284746265569,3.6546931905967686
0.32332332332332336,3.7500725607491674,61.86203437109407,0.09876177945070022,3.7534549700474686
0.33183183183183185,3.848559162467754,61.854681704429794,0.09876068258751297,3.852215652634982
0.3403403403403404,3.9470302252298604,61.84713850401535,0.09875955687421419,3.950975209509196
0.34884884884884887,4.045485351616364,61.83940480403243,0.09875840231194612,4.049733611821142
0.3573573573573574,4.143924144285244,61.831480639525765,0.09875721890188834,4.148490830723031
0.3658658658658659,4.24234620597349,61.82336604640291,0.09875600664523831,4.247246837368269
0.37437437437437443,4.340751139499034,61.81506106143402,0.09875476554323886,4.346001602911508
0.3828828828828829,4.439138547762663,61.80656572225175,0.09875349559714781,4.444755098508655
0.39139139139139145,4.537508033749944,61.797880067351,0.09875219680825738,4.543507295316912
0.39989989989989994,4.635859200533147,61.78900413608875,0.0987508691778949,4.642258164494807
0.4084084084084084,4.7341916512731546,61.77993796868385,0.09874951270740295,4.7410076772022105
0.41691691691691696,4.832504989221393,61.770681606216804,0.0987481273981736,4.839755804600384
0.42542542542542544,4.930798817721746,61.76123509062962,0.09874671325161005,4.938502517851994
0.433933933933934,5.029072740212467,61.75159846472552,0.09874527026915171,5.037247788121146
0.44244244244244246,5.127326360228106,61.74177177216877,0.09874379845227015,5.135991586573416
0.450950950950951,5.225559281401424,61.73175505748446,0.09874229780246142,5.234733884375878
0.4594594594594595,5.323771107465307,61.72154836605828,0.09874076832125508,5.333474652697133
0.467967967967968,5.421961442254686,61.711151744136245,0.09873921001020855,5.432213862707341
0.4764764764764765,5.520129889708446,61.700565238824524,0.09873762287090389,5.530951485578245
0.48498498498498505,5.618276053871354,61.68978889808918,0.09873600690496168,5.629687492483207
0.49349349349349353,5.716399538895961,61.67882277075591,0.0987343621140269,5.728421854597234
0.5020020020020021,5.814499949044519,61.66766690650982,0.0987326884997691,5.827154543097003
0.5105105105105106,5.9125768886909,61.65632135589516,0.09873098606389866,5.925885529160902
0.519019019019019,6.010629962322501,61.644786170315086,0.09872925480814079,6.024614783969042
0.5275275275275276,6.108658774542164,61.63306140203138,0.09872749473426645,6.1233422787033085
0.5360360360360361,6.206662930070081,61.62114710416421,0.09872570584406007,6.222067984547369
0.5445445445445446,6.304642033745715,61.60904333069183,0.09872388813935155,6.320791872686721
