proxtarg,disttarg,ptdl,dtdl,proxang,distang,prox_x,prox_y,dist_x,dist_y,dp,tpeff,tdeff
-60.0,-60.0,-2.256781849,-8.424633173,-64.2821660021031,-51.435667992334196,-20.44623192869001,23.60445899266637,-47.27862609055919,20.33227503982721,-3.115597341941763,-3.8145805199708813,-3.052253982058237
-60.0,-45.0,-2.582704305,-7.208592798,-65.98527405281459,-33.02945188277366,-20.830899187652875,23.140386274747065,-48.38895599574523,24.619052068277636,-2.6658813623563025,-3.915644986178151,-1.9600071306436975
-60.0,-30.0,-2.908626762,-5.992552424,-67.68838212349382,-14.623235766981042,-21.20413679107458,22.66829555128579,-48.40407373720433,28.971973124151457,-2.2161653831406616,-4.01670945357033,-0.8677602788593393
-60.0,-15.0,-3.234549218,-4.776512049,-69.39149017420534,3.7829803425795103,-21.56576049008936,22.18848086707679,-47.33417082478273,33.12886911080179,-1.7664494035552003,-4.1177739197776,0.22448657255520066
-60.0,0.0,-3.560471674,-3.560471674,-71.09459822491682,0.0,-21.91559382078291,21.701240708872994,-48.40512867130896,30.77342585925247,-1.3167334239697395,-4.21883838598487,0.0
-60.0,15.0,-3.88639413,-2.344431299,-72.79770627562831,25.984694818336532,-22.253468197916554,21.206877818191728,-45.34837346668938,36.59252167067674,-0.8670174443842785,-4.319902852192139,1.5419628309999998
-60.0,30.0,-4.212316586,-1.128390925,-74.50081432945586,51.969389619821385,-22.57922302561044,20.705698972818524,-40.47354525790685,40.939306153568346,-0.4173014651686374,-4.420967318584319,3.0839256610000008
-60.0,45.0,-4.538239043,0.08764945,-76.20392239701906,77.40784478705375,-22.89270579789439,20.198014770664958,-34.5618564198759,43.251592986388744,0.032414514416823435,-4.522031785791588,4.593473978583177
-60.0,60.0,-4.864161499,1.303689825,-77.90703044773053,95.81406089661428,-23.193772184018396,19.68413942713221,-30.252427695053537,43.39191745142776,0.48213049400228436,-4.623096251998858,5.685720829997716
-45.0,-60.0,-1.340162399,-7.561016786,-46.1445006175594,-57.71099876199819,-15.695402895261417,27.976925926890573,-42.27003275265007,31.320246792868065,-2.7962147807617845,-2.738269789380892,-3.424639606238215
-45.0,-45.0,-1.672710238,-6.338351028,-47.93861262706648,-39.12277473484649,-16.214538693672548,27.595499872404133,-42.41820741046895,35.728114105615354,-2.3440486024269824,-2.8447345392134915,-2.3215921875730174
-45.0,-30.0,-2.005258077,-5.115685271,-49.7327246396896,-20.53455071831441,-16.72364995409365,27.202079278193047,-41.476098645205674,39.95381077702485,-1.8918824244619996,-2.951199289231,-1.2185447695380005
-45.0,-15.0,-2.337805916,-3.893019513,-51.52683664919667,-1.9463266911627137,-17.22243485142216,26.796938832399373,-39.51218576869934,43.74062186682423,-1.439716246127197,-3.0576640390635985,-0.115497350872803
