proxtarg,disttarg,mt1,mt2,mt3,mt4,proxtdl,disttdl,prox_ang,dist_ang,tip_ang
0,15,7.60E-17,1.241404713,-0.248397275,-0.248397275,-0.351286795,1.241404713,0.360065241,12.72358214,13.08364738
0,30,1.52E-16,2.482809427,-0.496794549,-0.496794549,-0.70257359,2.482809427,0.95037963,26.62885112,27.57923075
0,45,2.28E-16,3.72421414,-0.745191824,-0.745191824,-1.053860384,3.72421414,2.820973158,38.2977054,41.11867855
0,60,3.04E-16,4.965618853,-0.993589099,-0.993589099,-1.405147179,4.965618853,6.612039456,48.78658962,55.39862908
15,-60,-2.51E-16,-4.098969951,1.639592616,1.639592616,2.318734114,-4.098969951,8.639280754,-57.2744388,-48.63515805
15,-45,-1.75E-16,-2.851697984,1.387046566,1.387046566,1.961580065,-2.851697984,9.726657021,-45.30759845,-35.58094143
15,-30,-9.82E-17,-1.604426016,1.134500516,1.134500516,1.604426016,-1.604426016,11.45831456,-30.6165614,-19.15824684
15,-15,-2.19E-17,-0.357154049,0.881954466,0.881954466,1.247271967,-0.357154049,13.28050218,-15.08624719,-1.805745012
15,0,5.45E-17,0.890117919,0.629408416,0.629408416,0.890117919,0.890117919,13.96432722,1.238933546,15.20326076
15,15,1.31E-16,2.137389886,0.376862366,0.376862366,0.53296387,2.137389886,15.16712215,15.68786789,30.85499004
15,30,2.07E-16,3.384661853,0.124316316,0.124316316,0.175809821,3.384661853,16.18167062,27.34860176,43.53027238
15,45,2.84E-16,4.631933821,-0.128229734,-0.128229734,-0.181344228,4.631933821,19.36322113,38.98442007,58.3476412
15,60,3.60E-16,5.879205788,-0.380775784,-0.380775784,-0.538498277,5.879205788,22.7010221,49.95762075,72.65864285
30,-60,-1.98E-16,-3.231562921,2.285060055,2.285060055,3.231562921,-3.231562921,21.45575265,-53.70867903,-32.25292638
30,-45,-1.21E-16,-1.978613231,2.02849925,2.02849925,2.86873115,-1.978613231,23.86624157,-41.6521785,-17.78593692
30,-30,-4.44E-17,-0.725663542,1.771938444,1.771938444,2.505899379,-0.725663542,24.55559666,-27.36196516,-2.806368502
30,-15,3.23E-17,0.527286148,1.515377638,1.515377638,2.143067608,0.527286148,25.99706463,-11.24960372,14.74746092
