proxtarg,disttarg,ptdl,dtdl,exproxang,exdistang,ret_tp,ret_td,prox_x,prox_y,dist_x,dist_y
-60.0,-60.0,-2.256781849,-8.424633173,-61.35436212,-65.61903888,-2.34568603270256,-8.33572898950273,-19.072228469987714,24.278703453660327,-45.489937448261955,20.494657510697593
-60.0,-45.0,-2.582704305,-7.208592798,-54.6897878,-61.40025784,-2.64938244304403,-7.14191466064416,-19.16163416819971,24.392515766540924,-46.40944080855746,25.07598940605132
-60.0,-30.0,-2.908626762,-5.992552424,-51.98878556,-44.04644768,-2.95307885338550,-5.94810033178558,-19.251039866411713,24.506328079421525,-46.41223363421814,29.776833863820777
-60.0,-15.0,-3.234549218,-4.776512049,-50.13808648,-28.80844558,-3.25677526372696,-4.75428600292701,-19.340445564623707,24.62014039230212,-45.489632923312655,34.39574440715841
-60.0,0.0,-3.560471674,-3.560471674,-49.39139178,-12.13447183,-3.56047167406843,-3.56047167406843,-19.429851262835705,24.73395270518273,-43.67856256879999,38.73395270518273
-60.0,15.0,-3.88639413,-2.344431299,-48.39674804,0.877441246,-3.91271596380288,-2.31810946581688,-19.32615347256717,24.60194674150147,-40.86666856611434,42.36000527501687
-60.0,30.0,-4.212316586,-1.128390925,-47.26653957,10.94701901,-4.26496025353732,-1.07574725756533,-19.22245568229863,24.469940777820227,-37.36744446628442,45.35697168565254
-60.0,45.0,-4.538239043,0.08764945,-46.60349457,20.79569542,-4.61720454327177,0.166614950686228,-19.118757892030093,24.337934814138983,-33.33456674684197,47.59349074233991
-60.0,60.0,-4.864161499,1.303689825,-44.80426381,32.47456626,-4.96944883300621,1.40897715893778,-19.015060101761556,24.205928850457727,-28.9468346752055,48.976358906908835
-45.0,-60.0,-1.340162399,-7.561016786,-49.75885215,-62.96173684,-1.42917141405756,-7.47200777111352,-15.070299434289673,27.68327233387512,-41.567229965375034,30.86557084125627
-45.0,-45.0,-1.672710238,-6.338351028,-43.01353283,-56.05704201,-1.73946699943100,-6.27159426722297,-15.142509637529873,27.81591831946414,-41.28497378645136,35.528354455250536
-45.0,-30.0,-2.005258077,-5.115685271,-40.7418287,-42.33947982,-2.04976258480444,-5.07118076333242,-15.21471984077008,27.94856430505316,-40.08631109961047,40.06931619463852
-45.0,-15.0,-2.337805916,-3.893019513,-38.7992112,-25.42260574,-2.36005817017788,-3.87076725944187,-15.286930044010278,28.081210290642183,-38.01499295381409,44.29162637854976
-45.0,0.0,-2.670353756,-2.670353756,-37.15451912,-9.843889415,-2.67035375555132,-2.67035375555132,-15.359140247250483,28.213856276231205,-35.158130120473814,48.01284614945453
-45.0,15.0,-3.002901595,-1.447687998,-37.16992209,5.260683364,-3.01706025046950,-1.43352934211604,-15.278456706643192,28.065645257781846,-31.488872794550765,50.793708167585656
-45.0,30.0,-3.335449434,-0.22502224,-36.976222,14.58577878,-3.36376674538767,-0.196704928680758,-15.19777316603591,27.9174342393325,-27.318525055621265,52.78902549817288
-45.0,45.0,-3.667997273,0.997643517,-35.8273488,25.77181075,-3.71047324030585,1.04011948475453,-15.117089625428624,27.76922322088314,-22.829525761215013,53.91168736980464
-45.0,60.0,-4.000545112,2.220309275,-33.02788523,39.81179958,-4.05717973522403,2.27694389818981,-15.036406084821333,27.62101220243379,-18.21870459220248,54.11794273351916
-30.0,-60.0,-0.424301078,-6.696642271,-36.5220678,-61.42427723,-0.513263298392953,-6.60768004974391,-10.422254371694653,30.236723946780785,-35.19268442814576,40.16849852022474
-30.0,-45.0,-0.763284767,-5.467540662,-30.40343321,-53.0023201,-0.830006433053269,-5.40081899656649,-10.47325117578957,30.384674306903822,-33.7288071039905,44.60048316171571
-30.0,-30.0,-1.102268457,-4.238439054,-28.3753464,-38.47292789,-1.14674956771358,-4.19395794338906,-10.524247979884489,30.532624667026848,-31.411278887716797,48.67761345101264
-30.0,-15.0,-1.441252147,-3.009337445,-26.92075262,-22.21692697,-1.46349270237390,-2.98709689021164,-10.575244783979402,30.680575027149878,-28.33330331749479,52.221090120697056
-30.0,0.0,-1.780235837,-1.780235837,-26.09684662,-5.290453172,-1.78023583703422,-1.78023583703422,-10.626241588074317,30.828525387272908,-24.626241588074315,55.0772366932372
-30.0,15.0,-2.119219527,-0.551134229,-25.53138582,7.708209939,-2.12125291139102,-0.549100844160303,-10.571336590835323,30.66923669735924,-20.34694060569161,56.81842405604819
-30.0,30.0,-2.458203217,0.67796738,-25.10099984,18.40103827,-2.46226998574783,0.682034148713610,-10.516431593596328,30.509948007445566,-15.786937377995574,57.67114177525198
-30.0,45.0,-2.797186907,1.907068988,-23.59357217,31.89105156,-2.80328706010463,1.91316914158752,-10.461526596357333,30.350659317531896,-11.145000235867725,57.598465957889644
-30.0,60.0,-3.136170596,3.136170596,-22.15821875,45.02687455,-3.14430413446144,3.14430413446143,-10.406621599118333,30.19137062761822,-6.622575656155592,56.60907960589246
-15.0,-60.0,0.490802115,-5.831509626,-23.37998003,-58.85831112,0.402038314291248,-5.74274582539389,-5.32530794476756,31.815070259260903,-26.68117365330841,47.819486874620964
-15.0,-45.0,0.145572107,-4.596161699,-18.54528504,-50.26772175,0.0789992560891593,-4.52958884867470,-5.351893322412087,31.973899695305192,-24.135713325008837,51.724297388422045
-15.0,-30.0,-0.199657902,-3.360813772,-16.20572525,-35.3021896,-0.244039802112930,-3.31643187195550,-5.378478700056613,32.13272913134948,-20.857532617962697,55.06540381011882
