proxtarg,disttarg,pxerr,pyerr,txerr,tyerr,p_euclid,t_euclid,pangerr,tangerr
-60,-60,-1.01946569998771,-1.24634488633967,-1.11259796826195,0.0768188606975926,60.008660294273,1.67070338920039,-1.35436212,-6.973400999
-60,-45,-3.00598974819971,-2.96070986345908,-3.27179420855747,-1.75303750394868,45.1002879632302,4.41253217990918,5.310212201,-11.09004564
-60,-30,-3.68293102641171,-3.42379834057848,-3.89850206421814,-3.69245270617922,30.2252209412157,5.18851745893382,8.01121444,-6.035233237
-60,-15,-4.15747447462371,-3.64521539769788,-4.60871521331266,-4.30608228284159,15.5654936962227,5.87604043664041,9.861913525,-3.946532052
-60,0,-4.34251761283571,-3.58394038481727,-5.05617146879999,-4.52103943481727,4.34251761283571,6.19753972184376,10.60860822,-1.525863605
-60,15,-4.49101712256717,-3.76017791849853,-4.85964827611434,-4.28505069498313,15.6578809164967,6.14451945609297,11.60325196,-2.519306794
-60,30,-4.69699644229863,-3.92593851217977,-4.02394493628442,-3.67204398434746,30.3654701195118,5.62184365236755,12.73346043,-6.319520567
-60,45,-4.94998470203009,-4.03846887586102,-2.95923484684197,-3.31401996766009,45.2714297162165,5.00662578390496,13.39650543,-10.80779915
-60,60,-5.46032944176156,-4.23569398954227,-3.0322469152055,-3.95915317309117,60.2479476630745,5.20918658984469,15.19573619,-12.32969755
-45,-60,0.174032955710327,-0.130144016124881,0.620755624624962,2.03289784125627,60.0002523950498,0.634251535620246,-4.758852145,-7.720588983
-45,-45,-1.79710736752987,-1.55115491053586,-1.50289756645136,-0.249272424749464,45.0358700914108,2.15981079072333,1.986467166,-9.070574845
-45,-30,-2.38659930077008,-1.78501193494684,-1.97931093961047,-0.880662305361483,30.0947812124035,2.66532163229212,4.258171299,-8.081308519
-45,-15,-2.97374817401028,-2.00603698935782,-3.03115732381409,-2.05569116145024,15.291931800869,3.6348451307289,6.200788798,-4.221816937
-45,0,-3.47404421725048,-2.1509423737688,-3.94009266047381,-2.42643582054547,3.47404421725048,4.48897352057169,7.845480876,-1.998408539
-45,15,-3.41369674664319,-2.17601450221816,-3.45488706455076,-2.19524543241435,15.3835407328106,4.08304833949635,7.83007791,-1.909238726
-45,30,-3.42547684603591,-2.1883087306675,-1.70081477562126,-1.45975214182712,30.194931555192,2.77154577838563,8.023778002,-7.39044322
-45,45,-3.79914487542862,-2.30830507911686,-1.28328503121501,-1.81341820019536,45.1600874864575,2.64104009996388,9.172651202,-10.05553805
-45,60,-4.63482986482133,-2.58582451756621,-2.87096578220248,-2.73370450648084,60.1787474767948,3.86379773774767,11.97211477,-8.216085657
-30,-60,1.18609656830535,0.499252496780784,2.45745040185424,2.58177458022474,60.0117223971229,2.50765139784529,-6.522067795,-7.946345022
-30,-45,-0.616010977789571,-0.562738693096179,0.3275437060095,0.64675044171571,45.0042161305445,0.65112189032011,-0.4034332109,-8.405753311
-30,-30,-1.13839523588449,-0.839677462973153,-0.330085687716796,-0.00353339898735783,30.0215912921531,0.902227689145318,1.6246536,-6.848274294
-30,-15,-1.6151510039794,-0.880909752850123,-1.19276535749479,-0.641981419302944,15.0867064916653,1.48279843225778,3.079247383,-4.137679582
-30,0,-1.92183796507432,-0.893538512727091,-1.93271429807432,-0.813345666762807,1.92183796507432,2.12927115034874,3.903153375,-1.387299797
-30,15,-2.04900701883532,-1.06531139264076,-1.28121739569161,-0.692766303951814,15.1393008346897,1.66625519603481,4.468614177,-2.823175884
-30,30,-2.16062925859633,-1.10291134255444,0.018744122004426,-0.654660914748021,30.0777046795979,1.10307061045291,4.899000163,-6.699961568
-30,45,-2.66570135635733,-1.1628237424681,-0.571485725867724,-1.19013896211035,45.0788860079892,1.29566777798866,6.406427834,-6.702520608
-30,60,-3.13316194311833,-1.22260792238178,-1.01852842615559,-1.61941613410754,60.0817501722595,1.59127944961206,7.84178125,-7.131344203
-15,-60,2.51793749923244,0.559577179260902,4.46164181669159,2.33124675462096,60.052810169467,4.4965958590917,-8.379980026,-7.238291146
-15,-45,1.05362981758791,0.0247959953051939,2.88089143499116,1.31691755842204,45.0123331520652,2.88099814328101,-3.545285042,-8.813006791
-15,-30,0.382432486943387,-0.225743998650522,1.8168083020373,0.47369144011882,30.0024374777629,1.83077927650451,-1.205725245,-6.507914849
-15,-15,-0.497991418701139,-0.392540892606235,-0.135308972448318,-0.320495939660411,15.0082642385154,0.415207021126955,1.585269175,-2.69066904
-15,0,-0.657342321345666,-0.316093126561952,-0.662558228216247,-0.211549600468039,0.657342321345666,0.734096908069202,1.991721292,-0.2052482329
-15,15,-0.46466944376681,-0.449038647466253,0.830128231091177,-0.118617854811504,15.0071955305437,0.943794780115301,1.337188086,-2.708862243
-15,30,-0.634566031187952,-0.472628658370567,1.78173733788309,-0.498727480879133,30.0067104836225,1.84335720627335,2.038914058,-5.723972686
-15,45,-1.4021071006091,-0.479679269274868,0.503885470895545,-0.820231640891727,45.0218380824415,0.695695888410803,4.341262026,-4.229888522
-15,60,-1.96462583103024,-0.437208800179189,0.138187786695068,-1.23535747425719,60.0321560053939,0.458527424856799,6.194088373,-5.379807426
0,-60,3.262505276,0.150013838002479,5.20509944516971,0.887466631490845,60.0886340390255,5.20726073724931,-8.49627513,-5.041152395
0,-45,2.199003434,0.0141831860018584,4.23240926445414,0.562551133713185,45.0536970303519,4.23243302895656,-4.612218801,-7.539299982
0,-30,1.71608926,-0.0588684059987656,3.34771697617937,0.0399618862327955,30.049042619496,3.34823452610841,-2.894368702,-5.447322663
0,-15,1.078890972,-0.170698267999384,1.91624584885822,-0.200005389627705,15.0387501385409,1.9238336861497,-0.9959741363,-2.604562272
0,0,0.7133796904,-0.132601659999999,1.112554059,-0.0894148000000001,0.7133796904,1.1204283709511,-0.09181582313,-0.1255192099
0,15,0.5831765335,-0.332189947999382,1.78746630914178,-0.310839099627699,15.0113322150043,1.81807204694115,0.3600652408,-1.916352622
0,30,0.3792206589,-0.369533175998768,1.91975184782063,-0.596254783767208,30.0023967093987,1.95499409855234,0.9503796304,-2.42076925
0,45,-0.2141502934,-0.246249403998142,1.62476449554586,-1.01652684628682,45.0005095565391,1.6433193344435,2.820973158,-3.881321446
0,60,-1.720967267,0.0316138280024774,-0.296250325169709,-1.10867927850915,60.0246759952445,0.297932356893521,6.612039456,-4.60137092
15,-60,3.08510976076756,-0.4761410707391,4.40746768604225,-0.5487669948171,60.0792634961181,4.43311196821727,-6.360719246,-3.635158047
15,-45,2.81544928041209,-0.589564134694811,4.52982639860744,-0.564018796311665,45.0879890286823,4.56803164070032,-5.273342979,-5.580941427
15,-30,2.39614641005661,-0.488756458650521,3.70434252218557,-0.791055731159084,30.095539829324,3.73644702860147,-3.541685444,-4.15824684
15,-15,1.85049017770114,-0.398398532606237,2.49560888884315,-0.703963639951475,15.1137127767392,2.52720895789322,-1.719497823,-1.805745012
15,0,1.68740894834567,-0.31499027656195,2.06834106821625,-0.456660140468038,1.68740894834567,2.09218872207994,-1.035672782,0.2032607634
15,15,1.29459666476681,-0.484956267466252,1.73638343751399,-0.50107559452043,15.0557623694194,1.80283388680924,0.1671221502,0.8549900379
15,30,0.897366814187952,-0.473796078370569,2.00670817809403,-0.985882639601222,30.0134181192214,2.06188274058172,1.181670619,-1.469727618
15,45,-0.118374673390902,-0.136766979274874,0.688206500205848,-0.768966606158017,45.0001556948784,0.701664730156473,4.363221134,-1.652358795
15,60,-1.13086464396976,0.324558719820807,-0.567719326428911,-0.45855016481913,60.0106561774072,0.653944643079686,7.701022097,-2.341357149
30,-60,4.21087464269465,-1.40754377321921,5.51964627573191,-1.70443721494497,60.1475807099212,5.69628602536155,-8.54424735,-2.252926381
30,-45,3.77879132378957,-1.32764123309618,4.81071449829996,-1.79380135273843,45.1583797746193,4.99055159556242,-6.133758429,-2.785936925
30,-30,3.62319050488449,-1.27994001297315,4.83416545428374,-1.87972510516673,30.217999758996,5.00074015283738,-5.444403341,-2.806368502
30,-15,3.2364586699794,-1.10483050285012,3.74410906883569,-1.60600944416117,15.3451837630732,3.90371658286891,-4.002935367,-0.2525390846
30,0,3.01676781307432,-0.960400932727094,3.75107634807431,-1.4501585567628,3.01676781307432,3.87207227730392,-3.343286265,0.03013704767
30,15,2.53151709483532,-1.02704750264076,3.32228920435071,-1.52158160909359,15.2121194710482,3.47741745121662,-2.129709957,0.3642701863
30,30,1.64504320759633,-0.888936532554435,2.38840053142863,-1.35951476856864,30.0450689324365,2.54846331294733,0.6673162742,-0.1984223382
30,45,0.763285472357332,-0.420535902468103,1.41361997455826,-1.12235746765622,45.0064729201513,1.47484639123359,3.511573729,-0.949597573
30,60,-0.609084880881667,0.466198147618218,-0.538398624430556,0.542000381062174,60.0030914569584,0.712189435214657,8.496953095,0.6681915779
45,-60,5.14892845928967,-2.62108184612488,6.15533429167082,-3.16414187503951,60.2205236134566,6.69015771759561,-10.36514507,-0.4713607636
45,-45,4.75389468752987,-2.52725913053586,5.39010940331626,-3.09623996161437,45.2504090003629,5.95317714271928,-7.974579668,-0.5382780606
45,-30,4.55501931077008,-2.45135793494684,5.06606177035544,-3.05413601610645,30.3438329965331,5.62797810819159,-7.090924539,0.2324152648
45,-15,4.31044652401028,-2.18200769935782,5.06762101191785,-3.05164799955401,15.6070480628578,5.5174215282583,-5.949310248,-0.4382585161
45,0,4.08109486725048,-1.9902101037688,4.77593970047381,-2.79930493054547,4.08109486725048,5.17402515259689,-5.406379753,0.8865126721
45,15,3.79342428664319,-2.07803389221815,4.871510176447,-3.38310240431058,15.4722353853118,5.29620961220702,-5.096870865,-0.2890696889
45,30,2.79666350603591,-1.7549323306675,3.7162122448763,-2.98487457108214,30.1300734610122,4.10974706450295,-2.095145629,-0.6172422105
45,45,1.12363681542862,-0.667108729116858,1.37250022435012,-0.42429109333046,45.0140262550795,1.52603765428807,4.06786924,2.62818612
45,60,0.248059934821333,0.14394330243379,0.438512015906696,0.476693489814942,60.0005127789027,0.461532731677939,7.85686579,2.057492013
60,-60,5.51478701998771,-3.79786292633967,5.21560295343166,-4.45611447988857,60.2529076134573,6.45184291308386,-10.99544709,3.42661897
60,-45,5.20407882819971,-3.79737122345908,5.04679578301159,-4.22710711525814,45.2999165170325,6.31586699386384,-9.280109251,2.483308029
60,-30,5.16854026641171,-3.85327109057847,5.3553764903975,-4.41375014274616,30.4419744511672,6.59755677894401,-9.004998172,2.089597421
60,-15,5.33040780462371,-3.90960912769788,6.40325207817088,-5.34555139418249,15.91895873993,7.50244498200275,-9.594549479,-0.5280881526
60,0,5.0340712828357,-3.56213704481727,6.01758210879999,-5.25930812481727,5.0340712828357,6.9928617004921,-8.319801352,-0.1906706273
60,15,4.53727193256717,-3.43139745849853,5.52065379125612,-5.59110674364224,15.6712104379356,6.50016205960288,-7.45513211,-1.011915167
60,30,3.73298222229863,-2.98885806217977,4.45610770010505,-4.81144793778052,30.231360476697,5.36564705797843,-4.98284424,0.1683265354
60,45,2.04757640203009,-1.62833609586102,2.47127461238784,-1.72379957635062,45.0465600143024,2.95950614983591,1.757472064,3.075757997
60,60,1.02965359176156,-0.437209029542274,1.3393008300358,-0.284624702505006,60.008834237294,1.4088571428104,6.834500638,2.295140228
