,DistTarget,Method,TDL
86,15,DNNProx,-4.118863106
87,30,DNNProx,-4.843627453
88,45,DNNProx,-5.346229553
89,60,DNNProx,-6.211201668
90,-60,DNNProx,-1.375732303
91,-45,DNNProx,-1.944339514
92,-30,DNNProx,-2.160324574
93,-15,DNNProx,-2.292978048
94,0,DNNProx,-3.624137878
95,15,DNNProx,-3.436290264
96,30,DNNProx,-4.465263367
97,45,DNNProx,-4.200525284
98,60,DNNProx,-4.461510658
99,-60,DNNProx,-0.480837166
100,-45,DNNProx,-0.551551998
101,-30,DNNProx,-1.060011387
102,-15,DNNProx,-1.229422808
103,0,DNNProx,-2.690552235
104,15,DNNProx,-2.152672291
105,30,DNNProx,-2.218180895
106,45,DNNProx,-3.635920763
107,60,DNNProx,-3.212610722
108,-60,DNNProx,1.037290096
109,-45,DNNProx,0.053457789
110,-30,DNNProx,-0.097186156
111,-15,DNNProx,-0.219438747
112,0,DNNProx,-0.88502878
113,15,DNNProx,-1.250123262
114,30,DNNProx,-1.199705005
115,45,DNNProx,-2.488787651
116,60,DNNProx,-2.186332464
117,-60,DNNProx,1.978332162
118,-45,DNNProx,1.301256061
119,-30,DNNProx,0.929480433
120,-15,DNNProx,0.553095162
121,0,DNNProx,0.064289533
122,15,DNNProx,-0.116374381
123,30,DNNProx,-0.874112666
124,45,DNNProx,-1.099974036
125,60,DNNProx,-1.027216315
126,-60,DNNProx,2.768990517
127,-45,DNNProx,2.079401493
128,-30,DNNProx,1.852463603
129,-15,DNNProx,1.530521035
130,0,DNNProx,1.095671177
131,15,DNNProx,0.849936128
132,30,DNNProx,0.70005995
133,45,DNNProx,0.116343871
134,60,DNNProx,-0.023792226
135,-60,DNNProx,4.007474422
136,-45,DNNProx,3.417280912
137,-30,DNNProx,2.970667839
138,-15,DNNProx,2.775898695
139,0,DNNProx,1.907286882
140,15,DNNProx,1.767476678
141,30,DNNProx,1.571403027
142,45,DNNProx,1.121333241
143,60,DNNProx,0.600201964
144,-60,DNNProx,4.978809357
145,-45,DNNProx,4.65532589
146,-30,DNNProx,4.202010155
147,-15,DNNProx,3.865060329
148,0,DNNProx,3.20305109
149,15,DNNProx,2.998764277
150,30,DNNProx,2.681423664
151,45,DNNProx,1.601074934
152,60,DNNProx,1.386417985
153,-60,DNNProx,6.012107849
154,-45,DNNProx,5.875476837
155,-30,DNNProx,5.16217804
