proxtarg,disttarg,ptdl,dtdl,exproxang,exdistang,ret_tp,ret_td
45.0,-45.0,3.775313638,-1.104959882,37.02542033,-37.56369839,3.60124051167165,-0.930886756120325
45.0,-30.0,3.406993677,0.153477997,37.90907546,-22.6766602,3.29094492629821,0.269526747770225
45.0,-15.0,3.038673716,1.411915876,39.05068975,-9.488948268,2.98064934092477,1.46994025166077
45.0,0.0,2.670353756,2.670353756,39.59362025,6.292892425,2.67035375555132,2.67035375555132
45.0,15.0,2.302033795,3.928791635,39.90312913,19.80780118,2.32364726063315,3.90717816898661
45.0,30.0,1.933713834,5.187229514,42.90485437,31.47790342,1.97694076571497,5.14400258242189
45.0,45.0,1.565393873,6.445667393,49.06786924,43.56031688,1.63023427079680,6.38082699585717
45.0,60.0,1.197073912,7.704105273,52.85686579,54.20062622,1.28352777587862,7.61765140929246
60.0,-60.0,5.054946148,-1.494474474,49.00455291,-45.57793394,4.77525731543430,-1.21478564136587
60.0,-45.0,4.681327529,-0.230737937,50.71989075,-33.23658272,4.47156090509283,-0.0209713125072929
60.0,-30.0,4.307708911,1.0329986,50.99500183,-18.90540441,4.16786449475137,1.17284301635128
60.0,-15.0,3.934090292,2.296735137,50.40545052,-5.933538674,3.86416808440990,2.36665734520986
60.0,0.0,3.560471674,3.560471674,51.68019865,8.129130725,3.56047167406843,3.56047167406843
60.0,15.0,3.186853056,4.824208211,52.54486789,21.44321694,3.20822738433399,4.80283388231998
60.0,30.0,2.813234437,6.087944748,55.01715576,35.15117078,2.85598309459954,6.04519609057154
60.0,45.0,2.439615819,7.351681285,61.75747206,46.31828593,2.50373880486510,7.28755829882309
60.0,60.0,2.0659972,8.615417822,66.83450064,55.46063959,2.15149451513065,8.52992050707464
