,ProxTarget,Method,TDL
176,-45,NewProx,-3.19830557954903
177,-45,NewProx,-3.72625740354674
178,-45,NewProx,-4.25420922754445
179,-45,NewProx,-4.78216105154216
180,-30,NewProx,0.331571458956623
181,-30,NewProx,-0.196380365041087
182,-30,NewProx,-0.724332189038797
183,-30,NewProx,-1.25228401303651
184,-30,NewProx,-1.78023583703422
185,-30,NewProx,-2.30818766103193
186,-30,NewProx,-2.83613948502964
187,-30,NewProx,-3.36409130902735
188,-30,NewProx,-3.89204313302505
189,-15,NewProx,1.22168937747373
190,-15,NewProx,0.693737553476021
191,-15,NewProx,0.165785729478311
192,-15,NewProx,-0.362166094519398
193,-15,NewProx,-0.890117918517108
194,-15,NewProx,-1.41806974251482
195,-15,NewProx,-1.94602156651253
196,-15,NewProx,-2.47397339051024
197,-15,NewProx,-3.00192521450795
198,0,NewProx,2.11180729599084
199,0,NewProx,1.58385547199313
200,0,NewProx,1.05590364799542
201,0,NewProx,0.527951823997710
202,0,NewProx,0
203,0,NewProx,-0.527951823997710
204,0,NewProx,-1.05590364799542
205,0,NewProx,-1.58385547199313
206,0,NewProx,-2.11180729599084
207,15,NewProx,3.00192521450795
208,15,NewProx,2.47397339051024
209,15,NewProx,1.94602156651253
210,15,NewProx,1.41806974251482
211,15,NewProx,0.890117918517108
212,15,NewProx,0.362166094519398
213,15,NewProx,-0.165785729478311
214,15,NewProx,-0.693737553476021
215,15,NewProx,-1.22168937747373
216,30,NewProx,3.89204313302505
217,30,NewProx,3.36409130902735
218,30,NewProx,2.83613948502964
219,30,NewProx,2.30818766103193
220,30,NewProx,1.78023583703422
221,30,NewProx,1.25228401303651
222,30,NewProx,0.724332189038797
223,30,NewProx,0.196380365041087
224,30,NewProx,-0.331571458956623
225,45,NewProx,4.78216105154216
226,45,NewProx,4.25420922754445
227,45,NewProx,3.72625740354674
228,45,NewProx,3.19830557954903
229,45,NewProx,2.67035375555132
230,45,NewProx,2.14240193155361
231,45,NewProx,1.61445010755590
232,45,NewProx,1.08649828355819
233,45,NewProx,0.558546459560485
234,60,NewProx,5.67227897005927
235,60,NewProx,5.14432714606156
236,60,NewProx,4.61637532206385
237,60,NewProx,4.08842349806614
238,60,NewProx,3.56047167406843
239,60,NewProx,3.03251985007072
240,60,NewProx,2.50456802607301
241,60,NewProx,1.97661620207530
242,60,NewProx,1.44866437807759
243,-60,ECAVCDist,-8.424633173
244,-60,ECAVCDist,-7.208592798
245,-60,ECAVCDist,-5.992552424
246,-60,ECAVCDist,-4.776512049
247,-60,ECAVCDist,-3.560471674
248,-60,ECAVCDist,-2.344431299
249,-60,ECAVCDist,-1.128390925
250,-60,ECAVCDist,0.08764945
251,-60,ECAVCDist,1.303689825
252,-45,ECAVCDist,-7.561016786
253,-45,ECAVCDist,-6.338351028
254,-45,ECAVCDist,-5.115685271
255,-45,ECAVCDist,-3.893019513
256,-45,ECAVCDist,-2.670353756
257,-45,ECAVCDist,-1.447687998
258,-45,ECAVCDist,-0.22502224
259,-45,ECAVCDist,0.997643517
260,-45,ECAVCDist,2.220309275
261,-30,ECAVCDist,-6.696642271
262,-30,ECAVCDist,-5.467540662
263,-30,ECAVCDist,-4.238439054
264,-30,ECAVCDist,-3.009337445
265,-30,ECAVCDist,-1.780235837
266,-30,ECAVCDist,-0.551134229
267,-30,ECAVCDist,0.67796738
268,-30,ECAVCDist,1.907068988
269,-30,ECAVCDist,3.136170596
270,-15,ECAVCDist,-5.831509626
271,-15,ECAVCDist,-4.596161699
272,-15,ECAVCDist,-3.360813772
273,-15,ECAVCDist,-2.125465845
274,-15,ECAVCDist,-0.890117919
275,-15,ECAVCDist,0.345230008
276,-15,ECAVCDist,1.580577935
277,-15,ECAVCDist,2.815925862
278,-15,ECAVCDist,4.051273789
279,0,ECAVCDist,-4.965618853
280,0,ECAVCDist,-3.72421414
281,0,ECAVCDist,-2.482809427
282,0,ECAVCDist,-1.241404713
283,0,ECAVCDist,0.0
284,0,ECAVCDist,1.241404713
285,0,ECAVCDist,2.482809427
286,0,ECAVCDist,3.72421414
287,0,ECAVCDist,4.965618853
288,15,ECAVCDist,-4.098969951
289,15,ECAVCDist,-2.851697984
290,15,ECAVCDist,-1.604426016
291,15,ECAVCDist,-0.357154049
292,15,ECAVCDist,0.890117919
293,15,ECAVCDist,2.137389886
294,15,ECAVCDist,3.384661853
295,15,ECAVCDist,4.631933821
296,15,ECAVCDist,5.879205788
297,30,ECAVCDist,-3.231562921
298,30,ECAVCDist,-1.978613231
299,30,ECAVCDist,-0.725663542
300,30,ECAVCDist,0.527286148
301,30,ECAVCDist,1.780235837
302,30,ECAVCDist,3.033185527
303,30,ECAVCDist,4.286135216
304,30,ECAVCDist,5.539084905
305,30,ECAVCDist,6.792034595
306,45,ECAVCDist,-2.363397762
307,45,ECAVCDist,-1.104959882
308,45,ECAVCDist,0.153477997
309,45,ECAVCDist,1.411915876
310,45,ECAVCDist,2.670353756
311,45,ECAVCDist,3.928791635
312,45,ECAVCDist,5.187229514
313,45,ECAVCDist,6.445667393
314,45,ECAVCDist,7.704105273
315,60,ECAVCDist,-1.494474474
316,60,ECAVCDist,-0.230737937
317,60,ECAVCDist,1.0329986
318,60,ECAVCDist,2.296735137
319,60,ECAVCDist,3.560471674
320,60,ECAVCDist,4.824208211
321,60,ECAVCDist,6.087944748
322,60,ECAVCDist,7.351681285
323,60,ECAVCDist,8.615417822
324,-60,DNNDist,-7.778976917
325,-60,DNNDist,-6.527694225
326,-60,DNNDist,-5.53252697
327,-60,DNNDist,-4.528889179
328,-60,DNNDist,-3.195491552
329,-60,DNNDist,-1.562444925
330,-60,DNNDist,0.030899882
331,-60,DNNDist,1.681651592
332,-60,DNNDist,2.953528881
333,-45,DNNDist,-7.035089493
334,-45,DNNDist,-5.726410866
335,-45,DNNDist,-4.55459547
336,-45,DNNDist,-3.564103842
337,-45,DNNDist,-2.194132328
338,-45,DNNDist,-1.031905174
339,-45,DNNDist,1.059465885
340,-45,DNNDist,1.976335287
341,-45,DNNDist,3.421122789
342,-30,DNNDist,-6.096113205
343,-30,DNNDist,-5.068604469
344,-30,DNNDist,-3.839273691
345,-30,DNNDist,-2.853235722
346,-30,DNNDist,-1.510061264
347,-30,DNNDist,-0.054386795
348,-30,DNNDist,1.13857317
349,-30,DNNDist,2.866209269
350,-30,DNNDist,3.98562479
351,-15,DNNDist,-5.432870865
352,-15,DNNDist,-4.172025204
353,-15,DNNDist,-3.117357969
354,-15,DNNDist,-2.040072918
355,-15,DNNDist,-0.929356456
356,-15,DNNDist,0.8088395
357,-15,DNNDist,1.882142425
358,-15,DNNDist,3.257020473
359,-15,DNNDist,4.750746727
360,0,DNNDist,-4.918967247
361,0,DNNDist,-3.188003302
362,0,DNNDist,-2.102644444
363,0,DNNDist,-1.128383636
364,0,DNNDist,-0.093430638
365,0,DNNDist,1.168502331
366,0,DNNDist,2.723051786
367,0,DNNDist,4.096005917
368,0,DNNDist,5.265860558
369,15,DNNDist,-4.050355434
370,15,DNNDist,-2.855629444
371,15,DNNDist,-1.771384478
372,15,DNNDist,-0.588245809
373,15,DNNDist,0.896273792
374,15,DNNDist,1.984530926
375,15,DNNDist,3.367728472
376,15,DNNDist,4.800578117
377,15,DNNDist,5.984876156
378,30,DNNDist,-3.243204355
379,30,DNNDist,-2.047384977
380,30,DNNDist,-0.942973554
381,30,DNNDist,0.122516274
382,30,DNNDist,1.787069559
383,30,DNNDist,3.00007534
384,30,DNNDist,4.326114655
385,30,DNNDist,5.715900421
386,30,DNNDist,6.845659256
387,45,DNNDist,-2.839399815
388,45,DNNDist,-1.776625633
389,45,DNNDist,-0.598428071
390,45,DNNDist,1.039920092
391,45,DNNDist,2.266777515
392,45,DNNDist,3.989051819
393,45,DNNDist,5.13064909
394,45,DNNDist,6.4114995
395,45,DNNDist,7.755186081
396,60,DNNDist,-2.077738285
397,60,DNNDist,-1.048734784
398,60,DNNDist,-0.028019905
399,60,DNNDist,1.839551926
400,60,DNNDist,3.114268303
401,60,DNNDist,4.76166153
402,60,DNNDist,5.887816906
403,60,DNNDist,7.205798149
404,60,DNNDist,8.811442375
405,-60,NewDist,-7.12094334813686
406,-60,NewDist,-6.23082542961976
407,-60,NewDist,-5.34070751110265
408,-60,NewDist,-4.45058959258554
409,-60,NewDist,-3.56047167406843
410,-60,NewDist,-2.67035375555132
411,-60,NewDist,-1.78023583703422
412,-60,NewDist,-0.890117918517108
413,-60,NewDist,-4.44089209850063e-16
414,-45,NewDist,-6.23082542961976
415,-45,NewDist,-5.34070751110265
416,-45,NewDist,-4.45058959258554
417,-45,NewDist,-3.56047167406843
418,-45,NewDist,-2.67035375555132
419,-45,NewDist,-1.78023583703422
420,-45,NewDist,-0.890117918517108
421,-45,NewDist,-4.44089209850063e-16
422,-45,NewDist,0.890117918517107
423,-30,NewDist,-5.34070751110265
424,-30,NewDist,-4.45058959258554
425,-30,NewDist,-3.56047167406843
426,-30,NewDist,-2.67035375555132
427,-30,NewDist,-1.78023583703422
428,-30,NewDist,-0.890117918517108
429,-30,NewDist,-2.22044604925031e-16
430,-30,NewDist,0.890117918517108
431,-30,NewDist,1.78023583703422
432,-15,NewDist,-4.45058959258554
433,-15,NewDist,-3.56047167406843
434,-15,NewDist,-2.67035375555132
435,-15,NewDist,-1.78023583703422
436,-15,NewDist,-0.890117918517108
437,-15,NewDist,-1.11022302462516e-16
438,-15,NewDist,0.890117918517108
439,-15,NewDist,1.78023583703422
440,-15,NewDist,2.67035375555132
441,0,NewDist,-3.56047167406843
442,0,NewDist,-2.67035375555132
443,0,NewDist,-1.78023583703422
444,0,NewDist,-0.890117918517108
445,0,NewDist,0
446,0,NewDist,0.890117918517108
447,0,NewDist,1.78023583703422
448,0,NewDist,2.67035375555132
449,0,NewDist,3.56047167406843
450,15,NewDist,-2.67035375555132
451,15,NewDist,-1.78023583703422
452,15,NewDist,-0.890117918517108
453,15,NewDist,1.11022302462516e-16
454,15,NewDist,0.890117918517108
455,15,NewDist,1.78023583703422
456,15,NewDist,2.67035375555132
457,15,NewDist,3.56047167406843
458,15,NewDist,4.45058959258554
459,30,NewDist,-1.78023583703422
460,30,NewDist,-0.890117918517108
461,30,NewDist,2.22044604925031e-16
462,30,NewDist,0.890117918517108
463,30,NewDist,1.78023583703422
464,30,NewDist,2.67035375555132
465,30,NewDist,3.56047167406843
466,30,NewDist,4.45058959258554
467,30,NewDist,5.34070751110265
468,45,NewDist,-0.890117918517107
469,45,NewDist,4.44089209850063e-16
470,45,NewDist,0.890117918517108
471,45,NewDist,1.78023583703422
472,45,NewDist,2.67035375555132
473,45,NewDist,3.56047167406843
474,45,NewDist,4.45058959258554
475,45,NewDist,5.34070751110265
476,45,NewDist,6.23082542961976
477,60,NewDist,4.44089209850063e-16
478,60,NewDist,0.890117918517108
479,60,NewDist,1.78023583703422
480,60,NewDist,2.67035375555132
481,60,NewDist,3.56047167406843
482,60,NewDist,4.45058959258554
483,60,NewDist,5.34070751110265
484,60,NewDist,6.23082542961976
485,60,NewDist,7.12094334813686
