,0,1,2
0,1,1.3886788327086141e-05,1.3886788327086141e-05
1,2,6.146549746214684e-06,6.146549746214684e-06
2,3,7.035068403551815e-06,7.035068403551815e-06
3,4,5.820451027223801e-06,5.820451027223801e-06
4,5,4.807715575745013e-06,4.807715575745013e-06
5,6,5.154908389418519e-06,5.154908389418519e-06
6,7,4.573580056222411e-06,4.573580056222411e-06
7,8,4.738188165122535e-06,4.738188165122535e-06
8,9,4.491639975596973e-06,4.491639975596973e-06
9,final,5.84379409658487e-06,
